DOID,Type,MeSH,UMLS_CUI
0001816,DIS,D006394,"C0018923, C0854893"
0002116,DIS,,
0014667,DIS,D008659,C0025517
0040001,DIS,,
0040002,DIS,,C0004058
0040003,DIS,,C0571411
0040004,DIS,,C0571417
0040005,DIS,,C0571463
0040006,DIS,,C0570787
0040007,DIS,,
0040008,DIS,,
0040009,DIS,,C0570646
0040010,DIS,,
0040011,DIS,,C0570785
0040012,DIS,,C0570789
0040013,DIS,,C0570577
0040014,DIS,,
0040015,DIS,,C0038757
0040016,DIS,,
0040017,DIS,,
0040018,DIS,,C0570633
0040019,DIS,,C0571922
0040020,DIS,,C0571457
0040021,DIS,,C0571444
0040022,DIS,,C0571303
0040023,DIS,,C0571453
0040024,DIS,,C0571458
0040025,DIS,,C0571454
0040026,DIS,,C0571344
0040027,DIS,,C0570670
0040028,DIS,,C0571140
0040029,DIS,,C0571390
0040030,DIS,,C0571460
0040031,DIS,,C0570540
0040032,DIS,,C0571443
0040033,DIS,,C0571427
0040034,DIS,,C0571149
0040035,DIS,,C0570587
0040036,DIS,,C0571147
0040037,DIS,,C0571476
0040038,DIS,,
0040040,DIS,,
0040041,DIS,,
0040042,DIS,,
0040043,DIS,,
0040044,DIS,,
0040045,DIS,,
0040046,DIS,,
0040047,DIS,,
0040048,DIS,,
0040049,DIS,,
0040050,DIS,,
0040051,DIS,,
0040052,DIS,,
0040053,DIS,,
0040054,DIS,,
0040055,DIS,,
0040056,DIS,,
0040057,DIS,,C0571102
0040058,DIS,,
0040059,DIS,,
0040060,DIS,,C0570547
0040061,DIS,,
0040062,DIS,,
0040063,DIS,,
0040064,DIS,,
0040065,DIS,,C0571881
0040066,DIS,,C0570673
0040067,DIS,,C1443961
0040068,DIS,,
0040069,DIS,,
0040070,DIS,,C0571504
0040071,DIS,,C0571155
0040072,DIS,,
0040073,DIS,,
0040074,DIS,,C0571339
0040075,DIS,,
0040076,DIS,,C0571482
0040077,DIS,,
0040078,DIS,,C0571145
0040079,DIS,,
0040080,DIS,,
0040081,DIS,,
0040082,DIS,,
0040083,DIS,,
0040084,DIS,,
0040085,DIS,,
0040086,DIS,,C1697878
0040087,DIS,,
0040088,DIS,,
0040089,DIS,,
0040090,DIS,,
0040091,DIS,D000081012,C2609129
0040092,DIS,,C0409675
0040093,DIS,,C0263591
0040094,DIS,,
0040095,DIS,,
0040096,DIS,,
0040097,DIS,,C1328843
0040098,DIS,,
0040099,DIS,,
0040100,DIS,,C0854359
0040101,DIS,,
0040102,DIS,,
0040103,DIS,,
0040104,DIS,,
0050004,DIS,,C0578661
0050012,DIS,,
0050013,DIS,,
0050025,DIS,,
0050026,DIS,,
0050032,DIS,,
0050035,DIS,,
0050041,DIS,,
0050042,DIS,,
0050043,DIS,,
0050046,DIS,,
0050047,DIS,,
0050050,DIS,,
0050051,DIS,,
0050052,DIS,D012373,
0050059,DIS,,
0050061,DIS,D004887,
0050072,DIS,C000656784,
0050073,DIS,,
0050083,DIS,C536166,
0050096,DIS,C000656825,
0050097,DIS,,
0050105,DIS,,
0050116,DIS,,
0050117,DIS,,C0001485
0050118,DIS,D004670,C0014053
0050120,DIS,,
0050125,DIS,,
0050127,DIS,,C0149512
0050129,DIS,,
0050130,DIS,,
0050131,DIS,,
0050132,DIS,,
0050133,DIS,D010854,"C0031898, C2980104"
0050134,DIS,,
0050135,DIS,,
0050136,DIS,,
0050138,DIS,D004604,
0050140,DIS,,
0050141,DIS,,
0050143,DIS,,
0050144,DIS,,
0050145,DIS,,C0396023
0050147,DIS,D059249,
0050148,DIS,,"C0155811, C0155837"
0050150,DIS,,
0050152,DIS,D011015,C0032290
0050153,DIS,,
0050155,DIS,,
0050156,DIS,D054990,C1800706
0050157,DIS,D018549,C0242770
0050158,DIS,C562470,C0238378
0050159,DIS,C562489,
0050160,DIS,C571912,
0050161,DIS,,C0029581
0050166,DIS,,C0152828
0050167,DIS,,
0050168,DIS,,
0050169,DIS,,
0050174,DIS,,
0050175,DIS,D004675,C0014054
0050177,DIS,,
0050179,DIS,,
0050185,DIS,D004892,
0050192,DIS,,
0050194,DIS,,
0050195,DIS,,
0050196,DIS,,
0050197,DIS,,
0050198,DIS,,
0050199,DIS,,
0050200,DIS,,
0050201,DIS,,
0050202,DIS,,
0050204,DIS,,
0050211,DIS,,
0050214,DIS,D015624,C0022972
0050218,DIS,,
0050222,DIS,,
0050242,DIS,,
0050246,DIS,,
0050250,DIS,,
0050251,DIS,,
0050253,DIS,,
0050254,DIS,,
0050256,DIS,C536369,
0050259,DIS,,
0050260,DIS,,
0050261,DIS,,
0050266,DIS,D058285,
0050268,DIS,,
0050269,DIS,D014247,
0050270,DIS,,
0050278,DIS,,
0050279,DIS,,
0050288,DIS,,
0050289,DIS,D060585,
0050290,DIS,D060586,
0050291,DIS,,
0050292,DIS,,
0050304,DIS,D000839,
0050308,DIS,,
0050328,DIS,,
0050331,DIS,,
0050332,DIS,,
0050335,DIS,C564243,C1842073
0050336,DIS,D017674,
0050338,DIS,,
0050339,DIS,,
0050340,DIS,,
0050352,DIS,,
0050353,DIS,,
0050354,DIS,,
0050382,DIS,,
0050383,DIS,,
0050387,DIS,,
0050398,DIS,,
0050419,DIS,C572568,
0050424,DIS,,
0050425,DIS,,
0050426,DIS,D013262,C0038325
0050427,DIS,,
0050428,DIS,C563422,C1833030
0050429,DIS,D016506,C0085106
0050430,DIS,D018813,C0025268
0050431,DIS,,
0050432,DIS,,
0050433,DIS,D034062,C0206042
0050434,DIS,D050030,C1563715
0050436,DIS,,
0050437,DIS,D052120,C0878677
0050438,DIS,D052159,C0950122
0050439,DIS,,
0050440,DIS,D052496,"C0271694, C1720859"
0050441,DIS,,
0050444,DIS,,
0050445,DIS,,
0050448,DIS,D053529,C1721005
0050449,DIS,D053549,"C0265334, C1706595"
0050450,DIS,D053579,C0268450
0050451,DIS,,
0050452,DIS,,
0050453,DIS,D054082,"C0266463, C0266483"
0050454,DIS,D054091,"C1848213, C1868720"
0050456,DIS,D054312,C0085568
0050457,DIS,D054331,C1384583
0050458,DIS,D054429,C0349639
0050459,DIS,D054559,C0085681
0050460,DIS,,
0050461,DIS,,
0050462,DIS,,
0050463,DIS,,
