Disease,MeSH,DOID
C0011860,D003924,9352
C0011849,D003920,9351
C0028754,D009765,9970
C0020538,D006973,10763
C0004153,D050197,1936
C0003850,D001161,2349
C0007222,D002318,1287
C0027051,D009203,5844
C0376358,D011471,10283
C0011854,D003922,9744
C1956346,D003324,3393
C0678222,D001943,1612
C0003873,D001172,7148
C0006142,D001943,1612
C0010068,D003327,3393
C0524620,D024821,14221
C0020456,D006943,4195
C0010054,D003324,3393
C0038454,D020521,6713
C0009402,D015179,0080199
C0025202,D008545,1909
C0007131,D002289,3908
C0235974,D010190,1793
C0346647,D010190,1793
C1621958,D005909,3068
C0007102,D003110,219
C0017636,D005909,3068
C0018801,D006333,6000
C0027651,D009369,162
C0024623,D013274,10534
C0030567,D010300,14330
C0027819,D009447,769
C0004096,D001249,2841
C0007137,D002294,1749
C0007097,D002277,305
C1458155,D001943,1612
C0001418,D000230,299
C0279702,D002292,4450
C0011570,D003863,1596
C0019196,D006526,1883
C0023467,D015470,9119
C0023418,D007938,1240
C0919267,D010051,2394
C1140680,D010051,2394
C2711227,D005234,9452
C0022658,D007674,557
C0029463,D012516,3347
C0021390,D015212,0050589
C0005695,D001749,11054
C0024141,D008180,9074
C0005684,D001749,11054
C0024117,D029424,3083
C0025517,D008659,0014667
C0023890,D008103,5082
C0152013,D000077192,3910
C0009324,D003093,8577
C0023903,D008113,3571
C0033578,D011471,10283
C0345904,D008113,3571
C0019163,D006509,2043
C0023895,D008107,409
C0476089,D016889,1380
C0010346,D003424,0060192
C0015695,D005234,9452
C0279626,D000077277,3748
C0014175,D004715,289
C0024299,D008223,0060058
C0033860,D011565,4398
C4048328,D002583,4362
C0029456,D010024,11476
C0023434,D015451,1040
C0001430,D000236,3172
C0238463,D000077273,3969
C0032285,D011014,552
C0022661,D007676,784
C0020459,D006946,2018
C0271650,D018149,10603
C0020179,D006816,12858
C0546837,D004938,5041
C0011884,D003930,8947
C0034069,D011658,3770
C0010674,D003550,1485
C0014859,D004938,5041
C0009404,D015179,0080199
C0004238,D001281,0060224
C0042373,D014652,178
C0014070,D004679,640
C0014544,D004827,1826
C0035309,D012164,5679
C0007785,D002544,3526
C0006118,D001932,1319
C0206698,D018281,4928
C0019829,D006689,8543
C0027765,D009422,863
C0031099,D010518,824
C0017601,D005901,1686
C1449563,D002311,12930
C3463824,D009190,0050908
C0003469,D001008,2030
C0242383,D008268,10871
C0024115,D008171,850
C0278996,D006258,11934
C0149925,D055752,5409
C0162871,D017544,7693
C0021400,D007251,8469
C1704272,D011470,2883
C0020473,D006949,1168
C0004352,D001321,12849
C0025149,D008527,0050902
C1261473,D012509,4235
C0038013,D013167,7147
C0035335,D012175,4648
C1565489,D051437,1074
C0004936,D001523,150
C0024305,D008228,0060060
C0278510,D008527,0050902
C0038356,D013274,10534
C0555198,D005910,3070
C0018213,D006111,12361
C0085580,D000075222,10825
C0001339,D010195,2913
C0041696,D003866,1595
C0742343,D056586,1584
C0024143,D008181,0080162
C0020676,D007037,1459
C0025286,D008579,1138
C0019348,D006561,8566
C0007138,D002295,2671
C0042133,D007889,127
C0023465,D007948,8864
C0035412,D012208,3247
C0017661,D005922,2986
C0525045,D019964,3324
C0035222,D012128,11394
C0025500,D008654,2645
C0008312,D008105,12236
C0006413,D002051,8584
C0020615,D007003,9993
C0018784,D006319,10003
C0040034,D013921,1588
C0023493,D015459,0050523
C0026848,D009135,423
C0007194,D002312,11984
C1527336,D012859,12894
C0036220,D012514,8632
C0007114,D012878,4159
C0007193,D002311,12930
C0022104,D043183,9778
C0007113,D012004,1984
C0206624,D018197,687
C0004763,D001471,9206
C0027708,D009396,2154
C0041327,D014397,2957
C0279628,C562730,4914
C0024301,D008224,0050873
C0345905,D018281,4928
C0036202,D012507,11335
C0812413,D000086002,1790
C0013264,D020388,11723
C0016057,D005354,3355
C0017658,D005921,2921
C0023492,D015458,715
C0008497,D002822,3594
C0151779,D000096142,8923
C0028738,D009759,11771
C0153452,D005706,3121
C4721414,D020522,0050746
C0220650,D001932,1319
C0013274,D004374,13832
C0013146,D019966,302
C0015397,D005128,5614
C4704874,D001943,1612
C0010417,D003456,11383
C0598608,D020138,9279
C0027697,D009393,10952
C0006111,D001927,936
C0007107,D007822,2596
C0345967,D000086002,1790
C0005940,D001847,0080001
C0031511,D010673,0050771
C0011644,D012594,419
C0009806,D003248,2089
C0282160,D004476,14693
C0007820,D002561,6713
C0002170,D000505,987
C0014556,D004833,3328
C0079773,D016410,0060061
C0036439,D012600,0060249
C0021670,D007340,3892
C0398650,D016553,8924
C0017152,D005756,4029
C0566602,D015209,0060643
C0003486,D001014,3627
C0022578,D007640,10126
C0042384,D014657,865
C0018553,D006223,0050657
C0042164,D014605,13141
C0014457,D004802,999
C0028756,D009767,11981
C0032463,D011087,8997
C0018802,D006333,6000
C0017638,D005910,3070
C0400966,D065626,0080208
C0007134,D002292,4450
C0026764,D009101,9538
C0239946,D008103,5082
C0024121,D008175,3683
C0549473,D013964,1781
C0005586,D001714,3312
C0376545,D019337,2531
C0030297,D010190,1793
C0740457,D007680,263
C0004943,D001528,13241
C0002895,D000755,10923
C0035078,D051437,1074
C0007786,D002545,2316
C0280324,D000077195,2876
C1704436,D058729,0050830
C4721532,D008228,0060060
C0027059,D009205,820
C0338106,D003110,219
C1257931,D001943,1612
C0220633,D000098943,6039
C0027022,D009196,4960
C0238462,C536914,3973
C2239176,D006528,684
C0002736,D000690,0111246
C3714636,D011014,552
C0019693,D015658,526
C0278876,D008527,0050902
C0018799,D006331,114
C0019159,D006506,12549
C0037286,D012878,4159
C0023470,D007951,8593
C0242379,D008175,3683
C0006826,D009369,162
C0079731,D016393,707
C0040136,D013964,1781
C0878544,D009202,0050700
C0009375,D003110,219
C0004114,D001254,3069
C1800706,D054990,0050156
C0011615,D003876,3310
C0002871,D000740,2355
C0004623,D001424,104
C0024530,D008288,12365
C0023487,D015473,0060318
C4721453,D010523,574
C0149931,D008881,6364
C0026691,D009080,13378
C0339573,D005902,1067
C0025958,D008831,10907
C0020550,D006980,7998
C0007787,D002546,224
C0220597,D006689,8543
C0007682,D002493,331
C0086692,D009369,162
C0362046,D011236,11716
C0206686,D018268,3948
C0002395,D000544,10652
C1168401,D000077195,2876
C0032460,D011085,11612
C0036572,D012640,11832
C0036421,D012595,418
C0079744,D016403,0050745
C0002726,D000686,9120
C0013080,D004314,14250
C0030305,D010195,2913
C0007570,D002446,10608
C0003872,D015535,9008
C0038436,D013313,2055
C0553580,D012512,3369
C0238198,D046152,9253
C0031090,D010510,3388
C0003504,D001022,57
C0011311,D003715,12205
C0008479,D002813,3371
C0014038,D004660,9588
C0027947,D009503,1227
C0038220,D013226,1824
C3241937,D065626,0080208
C0023267,D007889,127
C0018790,D006323,0060319
C0269102,D004715,289
C0235480,D001281,0060224
C3468561,D001281,0060224
C2585653,D001281,0060224
C4317109,D012640,11832
C0153633,D001932,1319
C0038379,D013285,9306
C0848558,D007021,10892
C0752347,D020961,12217
C0005745,D001763,0060260
C0241910,D019693,2048
C0026010,D008850,10629
C0020255,D006849,10908
C0028077,D009755,8499
C0027092,D009216,11830
C0008313,D015209,0060643
C0033687,D011507,576
C0079745,D008224,0050873
C0242647,D018442,0050748
C0014060,D004674,10845
C0039483,D013700,13375
C0011269,D015140,8725
C0002965,D000789,8805
C0221357,D059327,0050581
C0018817,D006344,1882
C1531647,D006849,10908
C0018818,D006345,1657
C0041671,D001289,1094
C0013384,D020820,9854
C0017168,D005764,8534
C0494475,D012640,11832
C0026948,D009182,8691
C0023269,D007890,1967
C0265219,D054221,0060402
C0376544,D019337,2531
C0085584,D001927,936
C0206656,D018233,3246
C0039101,D013584,5485
C0206655,D018232,4051
C0017665,D015433,10976
C0017668,D005923,1312
C0235527,D006333,6000
C0006012,D001883,10930
C0852283,D012128,11394
C0023892,D008105,12236
C0023448,D007945,1037
C3711374,C580334,0050563
C0005779,D001778,1247
C0001815,D055728,4971
C0026850,D009136,9884
C0020433,D006932,2741
C0751651,D028361,700
C0023787,D008060,811
C0086981,D012859,12894
C0085762,D000437,1574
C0600427,D019970,9975
C0030354,D010212,139
C0021831,D007410,5295
C0019189,D006521,2237
C0035235,D018357,1273
C0011633,D003882,10223
C0009447,D017074,12177
C0920350,D013967,7188
C0035455,D012220,4483
C0006267,D001987,9563
C0023343,D007918,1024
C0019100,D019595,12206
C0002622,D000647,10914
C0036205,D017565,13406
C0039103,D013585,12225
