,0
0,6917778
1,3100
2,11488320
3,5362116
4,92043599
5,65625
6,62690
7,2973
8,67454400
9,3671
10,6305
11,25171648
12,46209133
13,71384
14,5391
15,135543744
16,56934415
17,5770
18,132189640
19,137
20,5362124
21,16220172
22,3663
23,5311498
24,21874557
25,70957463
26,441193
27,67462786
28,56959087
29,24848164
30,40813
31,23724874
32,5462224
33,25084484
34,71582672
35,134128281
36,76318569
37,16048656
38,131801114
39,9801640
40,49846599
41,153994
42,72276
43,5282136
44,6918428
45,5748525
46,16219413
47,21855
48,3114
49,9881504
50,9913881
51,11609586
52,107999
53,11319217
54,71616860
55,2972
56,118984375
57,134819826
58,11667893
59,151174
60,165411936
61,3736
62,71301231
63,24756910
64,60699
65,3034034
66,9961205
67,23680530
68,3341
69,6445562
70,134821691
71,16132300
72,3194
73,3003004
74,49846579
75,6451143
76,51082
77,53481793
78,9800306
79,56843903
80,21195079
81,5354495
82,6433083
83,10113978
84,73297272
85,154562176
86,72941969
87,9832423
88,6440176
89,24963252
90,12000797
91,11319053
92,146170995
93,11491998
94,133577
95,135398641
96,134182831
97,3005573
98,2474
99,24994634
100,134587348
101,60194098
102,25052519
103,9837243
104,57788271
105,16132413
106,16747683
107,5206
108,6439330
109,5362376
110,11213961
111,5311221
112,3455
113,24864125
114,5388993
115,151193
116,6428551
117,49765424
118,637568
119,3385
120,192125
121,71605071
122,5573
123,16759173
124,57519748
125,71300922
126,34755
127,5324346
128,447451
129,46245047
130,56842233
131,156414
132,24804396
133,67960134
134,131634491
135,11180124
136,53340666
137,9926325
138,9942725
139,44177671
140,117817422
141,445580
142,60198
143,443879
144,54746
145,57495353
146,126742266
147,16134956
148,37768
149,6917864
150,56841790
151,9782
152,68488178
153,60857
154,60846
155,208908
156,5486971
157,9867642
158,216326
159,107970
160,121494115
161,3746
162,67041274
163,16131039
164,57469
165,154101
166,9416
167,17750227
168,11152667
169,68546
170,9954530
171,5029
172,23669833
173,9796590
174,182137
175,52920501
176,6279
177,11688894
178,44473425
179,6435415
180,10278470
181,118981804
182,10455977
183,71474517
184,21157
185,60956
186,11691242
187,70788982
188,6693
189,134817328
190,129012199
191,5746
192,129205086
193,9865375
194,54713659
195,56848985
196,2123
197,11979316
198,162623619
199,10257882
200,67683363
201,13342
202,60490
203,133043
204,23649181
205,72722205
206,121494118
207,23690531
208,1014
209,21585658
210,54758501
211,586
212,14497139
213,45109868
214,3821
215,70687254
216,10316203
217,9893228
218,52918385
219,6442177
220,3083445
221,668
222,5245
223,14720269
224,46917793
225,5832
226,5283731
227,2160
228,5311424
229,44626120
230,68861574
231,6918486
232,107882
233,11167602
234,90666167
235,24969622
236,60860
237,5488452
238,6918324
239,71184
240,338
241,5362065
242,168009840
243,16122663
244,16131215
245,13789
246,9955977
247,11516136
248,11548455
249,65016
250,1562841
251,118634103
252,10433653
253,91865088
254,24083
255,8813
256,3724
257,11219835
258,3463
259,123630
260,16099592
261,11525116
262,3038502
263,135564655
264,135400182
265,16662431
266,60663
267,6918574
268,11349170
269,42601552
270,5591
271,2820699
272,9571836
273,10437018
274,3331
275,10324367
276,247
277,23668196
278,125516
279,5280757
280,5282411
281,6509979
282,58266779
283,2353
284,11960529
285,104760
286,158795
287,104858
288,154059
289,91801202
290,91276
291,10718956
292,66571003
293,92131181
294,19205771
295,6918387
296,10184665
297,24883466
298,11977455
299,56842041
300,16659841
301,57339445
302,9875671
303,100802
304,6326970
305,3086257
306,130412842
307,135565082
308,121427236
309,151194
310,71157
311,24776445
312,10096344
313,15950376
314,3547
315,9823820
316,62657
317,5280965
318,53235510
319,9892481
320,6435419
321,10127315
322,118984450
323,91452
324,16034857
325,16052011
326,3283
327,5284616
328,9794392
329,78323434
330,86305217
331,8906
332,16197725
333,46202416
334,118984445
335,11438771
336,72187
337,134611625
338,2723939
339,49784945
340,5282138
341,5487426
342,46220503
343,5281104
344,129205616
345,117902620
346,91844684
347,135413538
348,60795
349,16134409
350,11224
351,135146787
352,3151
353,59772
354,45275554
355,10016012
356,68553
357,132999
358,49867930
359,450349
360,5487
361,14052
362,214351
363,5426
364,24856436
365,44368467
366,78000
367,137528261
368,71449007
369,70662473
370,105024
371,108092
372,135398645
373,6450800
374,51352361
375,118157243
376,34359
377,3516
378,121586
379,9795739
380,135398561
381,6241
382,6199
383,6918408
384,4031
385,108143
386,25254071
387,159595
388,54556623
389,135424953
390,13559281
391,104799
392,118984457
393,5329098
